** CONVERTED FROM C:\Users\arezoo\Documents\MATLAB\Projects\SceneConstruction_RDP_Psychophysics\MotionDiscrim\Data\SubjectsData\111\111_Block_1_toTrial7.edf using edfapi 3.1 Win32 Apr 29 2011 on Wed Jul 03 15:28:17 2019
** DATE: Wed Jul  3 16:33:18 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AC7
** SERIAL NUMBER: CLG-BBE31
** CAMERA_CONFIG: BBE31200.SCD
** Heins_SC
**

MSG	587276 RECCFG CR 1000 1 1 R
MSG	587276 ELCLCFG MTABLER
MSG	587276 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	587276 THRESHOLDS R 83 220
MSG	587276 ELCL_WINDOW_SIZES 176 188 0 0
MSG	587276 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	587276 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	587276 ELCL_PROC ELLIPSE  (5)
MSG	587276 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	587277 !MODE RECORD CR 1000 1 1 R
START	587278 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	587278	127
587278	  971.7	  523.5	 6363.0	...
587279	  971.2	  523.5	 6374.0	...
587280	  971.1	  523.9	 6374.0	...
587281	  973.3	  523.9	 6370.0	...
587282	  973.1	  521.5	 6370.0	...
587283	  973.1	  521.5	 6371.0	...
SFIX R   587284
587284	  973.2	  521.5	 6371.0	...
587285	  973.4	  521.0	 6372.0	...
587286	  972.3	  521.0	 6372.0	...
587287	  972.1	  521.6	 6368.0	...
587288	  972.2	  522.1	 6366.0	...
587289	  971.1	  526.5	 6366.0	...
587290	  971.3	  526.5	 6365.0	...
587291	  972.2	  523.4	 6365.0	...
587292	  972.7	  521.3	 6370.0	...
587293	  972.5	  521.3	 6375.0	...
587294	  972.4	  520.9	 6375.0	...
587295	  972.2	  520.9	 6373.0	...
587296	  971.7	  522.9	 6373.0	...
587297	  971.8	  522.9	 6376.0	...
587298	  972.8	  519.3	 6381.0	...
587299	  971.8	  519.3	 6379.0	...
587300	  971.9	  519.1	 6380.0	...
587301	  971.9	  519.1	 6380.0	...
587302	  968.3	  519.1	 6380.0	...
587303	  968.3	  519.1	 6380.0	...
587304	  969.6	  523.8	 6380.0	...
587305	  969.5	  524.1	 6378.0	...
587306	  969.3	  524.1	 6378.0	...
587307	  970.5	  519.2	 6387.0	...
587308	  970.4	  519.7	 6385.0	...
587309	  969.7	  520.2	 6383.0	...
587310	  968.9	  523.6	 6383.0	...
587311	  969.1	  523.6	 6383.0	...
587312	  969.8	  521.0	 6383.0	...
587313	  970.2	  519.3	 6387.0	...
