** CONVERTED FROM C:\Users\arezoo\Documents\MATLAB\Projects\SceneConstruction_RDP_Psychophysics\SceneConstructionProper\Data\SubjectsData\110\110_Block_1_toTrial3.edf using edfapi 3.1 Win32 Apr 29 2011 on Wed Jul 03 16:46:05 2019
** DATE: Wed Jul  3 17:53:38 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AC7
** SERIAL NUMBER: CLG-BBE31
** CAMERA_CONFIG: BBE31200.SCD
** Heins_SC
**

MSG	5407513 RECCFG CR 1000 1 1 R
MSG	5407513 ELCLCFG MTABLER
MSG	5407513 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	5407513 THRESHOLDS R 87 217
MSG	5407513 ELCL_WINDOW_SIZES 176 188 0 0
MSG	5407513 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	5407513 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	5407513 ELCL_PROC ELLIPSE  (5)
MSG	5407513 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	5407514 !MODE RECORD CR 1000 1 1 R
START	5407515 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	5407515	127
5407515	  967.3	  480.1	 7396.0	...
5407516	  967.3	  480.1	 7396.0	...
5407517	  968.3	  481.0	 7396.0	...
5407518	  969.9	  481.9	 7406.0	...
5407519	  969.9	  481.0	 7406.0	...
5407520	  967.9	  480.0	 7406.0	...
SFIX R   5407521
5407521	  968.4	  478.1	 7408.0	...
5407522	  968.7	  478.1	 7408.0	...
5407523	  969.5	  478.0	 7408.0	...
5407524	  969.5	  478.0	 7408.0	...
5407525	  968.8	  482.3	 7407.0	...
5407526	  968.5	  482.3	 7398.0	...
5407527	  968.4	  481.5	 7398.0	...
5407528	  968.3	  481.1	 7400.0	...
5407529	  968.1	  482.3	 7404.0	...
5407530	  968.1	  482.3	 7405.0	...
5407531	  968.2	  480.7	 7406.0	...
5407532	  968.6	  479.1	 7406.0	...
5407533	  968.7	  477.8	 7419.0	...
5407534	  968.3	  477.7	 7419.0	...
5407535	  968.3	  477.7	 7420.0	...
5407536	  968.0	  477.7	 7420.0	...
5407537	  967.8	  480.8	 7412.0	...
5407538	  968.4	  480.8	 7412.0	...
5407539	  968.4	  480.2	 7403.0	...
5407540	  967.2	  479.6	 7403.0	...
5407541	  967.8	  477.9	 7404.0	...
5407542	  967.8	  477.6	 7406.0	...
5407543	  967.6	  477.6	 7406.0	...
5407544	  967.7	  476.3	 7406.0	...
5407545	  967.7	  476.3	 7420.0	...
5407546	  967.6	  476.4	 7420.0	...
5407547	  967.5	  476.4	 7412.0	...
