** CONVERTED FROM W:\#Common\4Conor\SceneConstruction_data\SC\991546040\991546040_Block_1_toTrial5.edf using edfapi 3.1 Win32 Apr 29 2011 on Sat Jul 06 17:09:00 2019
** DATE: Thu Jul  4 04:01:38 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDE33
** CAMERA_CONFIG: BDE33200.SCD
** Heins_SC
**

MSG	4155054 RECCFG CR 1000 1 1 R
MSG	4155054 ELCLCFG MTABLER
MSG	4155054 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	4155054 THRESHOLDS R 101 230
MSG	4155054 ELCL_WINDOW_SIZES 176 188 0 0
MSG	4155054 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	4155054 ELCL_PROC ELLIPSE  (5)
MSG	4155054 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	4155055 !MODE RECORD CR 1000 1 1 R
START	4155056 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	4155056	127
4155056	  922.9	  510.6	 5460.0	...
4155057	  922.9	  510.6	 5461.0	...
4155058	  923.7	  510.6	 5460.0	...
4155059	  923.9	  512.0	 5460.0	...
4155060	  924.0	  512.0	 5459.0	...
4155061	  924.0	  512.0	 5459.0	...
SFIX R   4155062
4155062	  924.3	  511.6	 5462.0	...
4155063	  923.7	  511.6	 5462.0	...
4155064	  923.1	  511.6	 5457.0	...
4155065	  923.1	  510.1	 5457.0	...
4155066	  924.1	  510.5	 5462.0	...
4155067	  924.1	  510.8	 5462.0	...
4155068	  925.3	  510.7	 5463.0	...
4155069	  925.3	  510.4	 5463.0	...
4155070	  923.8	  510.5	 5464.0	...
4155071	  923.8	  510.3	 5466.0	...
4155072	  923.8	  510.3	 5466.0	...
4155073	  924.0	  511.3	 5466.0	...
4155074	  925.3	  511.5	 5467.0	...
4155075	  925.3	  511.5	 5467.0	...
4155076	  925.0	  511.5	 5466.0	...
4155077	  925.0	  511.5	 5466.0	...
4155078	  925.5	  511.7	 5463.0	...
4155079	  925.6	  511.7	 5463.0	...
4155080	  925.6	  511.7	 5464.0	...
4155081	  925.5	  511.0	 5464.0	...
4155082	  925.1	  511.0	 5464.0	...
4155083	  925.2	  510.8	 5464.0	...
4155084	  925.2	  510.8	 5466.0	...
4155085	  925.2	  511.1	 5466.0	...
4155086	  925.2	  511.2	 5467.0	...
4155087	  925.2	  511.3	 5467.0	...
4155088	  925.5	  511.3	 5467.0	...
4155089	  925.5	  511.3	 5467.0	...
4155090	  925.3	  511.7	 5466.0	...
4155091	  925.3	  511.7	 5468.0	...
